V5001,V5002,V5003,case_number,V5005,V5006,V5007,V5008,V5009,V5010,V5011
5,1,AL0011200,2W1I0U7 6288,20160514,1,22,F,B,2, 
5,1,AL0011200,2W1I0U7 6288,20160514,2,30,F,B, , 
5,1,AL0011200,2W1I0U7 62JW,20160514,1,36,F,W,1, 
5,1,AL0011200,2W1I0U7 64 8,20160513,0, , , ,1, 
5,1,AL0011200,2W1I0U7 64 W,20160513,1,54,M,W,1, 
5,1,AL0011200,2W1I0U7 642X,20160513,1,49,M,B,2, 
5,1,AL0011200,2W1I0U7 642X,20160513,2,49,M,B, , 
5,1,AL0011200,2W1I0U7 6484,20160513,1,49,F,B,2, 
5,1,AL0011200,2W1I0U7 6484,20160513,2,49,M,B, , 
5,1,AL0011200,2W1I0U7 662D,20160512,0, , , ,1, 
5,1,AL0011200,2W1I0U7 66BX,20160512,0, , , ,1, 
5,1,AL0011200,2W1I0U7 66JR,20160512,1,35,M,W,1, 
5,1,AL0011200,2W1I0U7 67TN,20160513,1,32,M,B,1, 
5,1,AL0011200,2W1I0U7 6CBX,20160513,1,49,F,W,1, 
5,1,AL0011200,2W1I0U7 6CJD,20160513,1,35,M,W,1, 
5,1,AL0011200,2W1I0U7 6CKO,20160513,0, , , ,1, 
5,1,AL0011200,2W1I0U7 6GBD,20160511,1,49,F,B,2, 
5,1,AL0011200,2W1I0U7 6GBD,20160511,2,49,F,B, , 
5,1,AL0011200,2W1I0U7 6GJN,20160512,1,49,F,B,1, 
5,1,AL0011200,2W1I0U7 6GKO,20160512,0, , , ,1, 
5,1,AL0011200,2W1I0U7 6GTD,20160512,1,21,M,W,1, 
5,1,AL0011200,2W1I0U7 6GXW,20160512,0, , , ,1, 
5,1,AL0011200,2W1I0U7 6N64,20160512,0, , , ,1, 
5,1,AL0011200,2W1I0U7 6NKI,20160512,0, , , ,1, 
5,1,AL0011200,2W1I0U7 6X0N,20160514,1,34,F,B,1, 
5,1,AL0011200,2W1I0U7 6YT8,20160513,1,27,F,B,1, 
5,1,AL0011200,2W1I0U7 6YXW,20160513,0, , , ,1, 
5,1,AL0011200,2W1I0U7 722W,20160517,1,27,M,B,1, 
5,1,AL0011200,2W1I0U7 72TN,20160517,2,44,F,B,1, 
5,1,AL0011200,2W1I0U7 74B,20160516,1,45,M,B,1, 
5,1,AL0011200,2W1I0U7 74K4,20160516,2,17,F,W,1, 
5,1,AL0011200,2W1I0U7 74X4,20160516,0, , , ,1, 
5,1,AL0011200,2W1I0U7 76JI,20160515,0, , , ,1, 
5,1,AL0011200,2W1I0U7 76TN,20160516,0, , , ,1, 
5,1,AL0011200,2W1I0U7 770O,20160516,1,38,M,B,1, 
5,1,AL0011200,2W1I0U7 772X,20160516,1,49,M,W,1, 
5,1,AL0011200,2W1I0U7 7768,20160516,0, , , ,1, 
5,1,AL0011200,2W1I0U7 776D,20160516,1,15,F,B,1, 
5,1,AL0011200,2W1I0U7 77JD,20160516,1,34,M,W,1, 
5,1,AL0011200,2W1I0U7 7G0N,20160515,1,49,M,W,1, 
5,1,AL0011200,2W1I0U7 7G2,20160515,1,26,M,W,1, 
5,1,AL0011200,2W1I0U7 7G2D,20160515,1,23,F,W,1, 
5,1,AL0011200,2W1I0U7 7G6O,20160515,0, , , ,1, 
5,1,AL0011200,2W1I0U7 7L2R,20160517,1,32,M,W,1, 
5,1,AL0011200,2W1I0U7 7L8W,20160517,0, , , ,1, 
5,1,AL0011200,2W1I0U7 7LBW,20160517,1,49,M,W,1, 
5,1,AL0011200,2W1I0U7 7X6,20160517,1,46,F,W,1, 
5,1,AL0011200,2W1I0U7 7X88,20160517,1,46,F,W,1, 
5,1,AL0011200,2W1I0U7 7XTX,20160517,1,29,M,W,2, 
5,1,AL0011200,2W1I0U7 7XTX,20160517,2,25,F,W, , 
5,1,AL0011200,2W1I0U7 7Y N,20160303,1,70,M,W,1, 
5,1,AL0011200,2W1I0U7 7Y O,20160503,1,46,M,W,1, 
5,1,AL0011200,2W1I0U7 7Y2,20160516,1,49,M,W,2, 
5,1,AL0011200,2W1I0U7 7Y2,20160516,2,49,M,W, , 
5,1,AL0011200,2W1I0U7 7YB,20160516,0, , , ,1, 
5,1,AL0011200,2W1I0U7 84 4,20160421,1,17,F,W,1, 
5,1,AL0011200,2W1I0U7 842X,20160421,0, , , ,1, 
5,1,AL0011200,2W1I0U7 84KO,20160421,1,55,F,B,1, 
5,1,AL0011200,2W1I0U7 868D,20160420,1,36,M,W,1, 
5,1,AL0011200,2W1I0U7 868X,20160420,0, , , ,1, 
5,1,AL0011200,2W1I0U7 87TD,20160420,1,15,M,W,1, 
5,1,AL0011200,2W1I0U7 87TX,20160420,1,49,M,B,2, 
5,1,AL0011200,2W1I0U7 87TX,20160420,2,49,F,B, , 
5,1,AL0011200,2W1I0U7 8CJ8,20160421,0, , , ,1, 
5,1,AL0011200,2W1I0U7 8GJ8,20160419,1,28,M,W,1, 
5,1,AL0011200,2W1I0U7 8GXN,20160420,1,20,M,W,1, 
5,1,AL0011200,2W1I0U7 8L0I,20160405,1,47,M,W,1, 
5,1,AL0011200,2W1I0U7 8L6,20160421,1,15,M,W,1, 
5,1,AL0011200,2W1I0U7 8LBR,20160421,0, , , ,1, 
5,1,AL0011200,2W1I0U7 8LJI,20160420,1,43,F,W,1, 
5,1,AL0011200,2W1I0U7 8LK,20160421,0, , , ,1, 
5,1,AL0011200,2W1I0U7 8LKW,20160421,1,42,M,W,1, 
5,1,AL0011200,2W1I0U7 8LX,20160421,1,26,M,B,1, 
5,1,AL0011200,2W1I0U7 8N0,20160419,0, , , ,1, 
5,1,AL0011200,2W1I0U7 8NBI,20160419,2,33,M,W,1, 
5,1,AL0011200,2W1I0U7 8NBN,20160419,1,21,F,B,2, 
5,1,AL0011200,2W1I0U7 8NBN,20160419,2,49,F,B, , 
5,1,AL0011200,2W1I0U7 8NTI,20160419,1,29,F,B,1, 
5,1,AL0011200,2W1I0U7 8X O,20160422,1,21,M,W,1, 
5,1,AL0011200,2W1I0U7 8Y6,20160420,1,49,M,B,3, 
5,1,AL0011200,2W1I0U7 8Y6,20160420,2,49,M,B, , 
5,1,AL0011200,2W1I0U7 8Y6,20160420,3,20,M,B, , 
5,1,AL0011200,2W1I0U7 8Y8I,20160421,1,25,M,B,1, 
5,1,AL0011200,2W1I0U7 8YJI,20160420,1,29,F,B,1, 
5,1,AL0011200,2W1I0U7 9284,20160425,0, , , ,1, 
5,1,AL0011200,2W1I0U7 928N,20160425,1,55,F,B,1, 
5,1,AL0011200,2W1I0U7 92BX,20160424,1,30,M,W,1, 
5,1,AL0011200,2W1I0U7 92K4,20160425,1,21,F,B,1, 
5,1,AL0011200,2W1I0U7 92K8,20160425,0, , , ,1, 
5,1,AL0011200,2W1I0U7 9GK,20160422,1,16,M,W,3, 
5,1,AL0011200,2W1I0U7 9GK,20160422,2,16,M,W, , 
5,1,AL0011200,2W1I0U7 9GK,20160422,3,15,M,W, , 
5,1,AL0011200,2W1I0U7 9L6X,20160424,1,49,M,W,1, 
5,1,AL0011200,2W1I0U7 9N,20160422,1,38,M,W,1, 
5,1,AL0011200,2W1I0U7 9N W,20160218,1,19,F,B,2, 
5,1,AL0011200,2W1I0U7 9N W,20160218,2,20,M,B, , 
5,1,AL0011200,2W1I0U7 9NK4,20160421,0, , , ,1, 
5,1,AL0011200,2W1I0U7 9Y O,20160423,1,49,M,W,1, 
5,1,AL0011200,2W1I0U7 9Y0,20160423,1,62,M,W,1, 
5,1,AL0011200,2W1I0U7 9YJX,20160423,1,21,F,W,1, 
5,1,AL0011200,2W1I0U7 I7KW,20160430,0, , , ,1, 
5,1,AL0011200,2W1I0U7 IC 8,20160503,1,52,F,W,1, 
5,1,AL0011200,2W1I0U7 ICBN,20160502,1,16,F,B,1, 
5,1,AL0011200,2W1I0U7 ICJ4,20160503,2,10,M,W,1, 
5,1,AL0011200,2W1I0U7 ICKR,20160502,0, , , ,1, 
5,1,AL0011200,2W1I0U7 ILTW,20160503,1,23,M,B,1, 
5,1,AL0011200,2W1I0U7 INJO,20160501,1,35,M,B,1, 
5,1,AL0011200,2W1I0U7 INXX,20160430,0, , , ,1, 
5,1,AL0011200,2W1I0U7 IX2R,20160503,1,19,M,W,1, 
5,1,AL0011200,2W1I0U7 IXXX,20160503,1,36,F,B,1, 
5,1,AL0011200,2W1I0U7 IY 4,20160502,1,18,M,B,1, 
5,1,AL0011200,2W1I0U7 IY0W,20160502,1,43,M,B,1, 
5,1,AL0011200,2W1I0U7 IYB,20160502,1,46,F,B,1, 
5,1,AL0011200,2W1I0U7 IYB8,20160502,1,19,F,B,4, 
5,1,AL0011200,2W1I0U7 IYB8,20160502,2,20,F,B, , 
5,1,AL0011200,2W1I0U7 IYB8,20160502,3,17,F,B, , 
5,1,AL0011200,2W1I0U7 IYB8,20160502,4,49,F,B, , 
5,1,AL0011200,2W1I0U7 IYXN,20160404,1,38,M,W,1, 
5,1,AL0011200,2W1I0U7 J48N,20160411,1,77,F,W,1, 
5,1,AL0011200,2W1I0U7 J48R,20160504,0, , , ,1, 
5,1,AL0011200,2W1I0U7 J6 8,20160505,1,42,M,W,1, 
5,1,AL0011200,2W1I0U7 J6TI,20160504,0, , , ,1, 
5,1,AL0011200,2W1I0U7 J6XI,20160504,1,49,M,B,2, 
5,1,AL0011200,2W1I0U7 J6XI,20160504,2,49,F,B, , 
5,1,AL0011200,2W1I0U7 J6XN,20160504,1,18,F,B,2, 
5,1,AL0011200,2W1I0U7 J6XN,20160504,2,21,M,B, , 
5,1,AL0011200,2W1I0U7 J6XR,20160425,0, , , ,1, 
5,1,AL0011200,2W1I0U7 J768,20160505,1,21,M,B,1, 
5,1,AL0011200,2W1I0U7 J7BR,20160505,1,49,M,B,1, 
5,1,AL0011200,2W1I0U7 JCB,20160505,1,15,M,B,1, 
5,1,AL0011200,2W1I0U7 JCBO,20160505,1,16,M,W,2, 
5,1,AL0011200,2W1I0U7 JCBO,20160505,2,24,M,W, , 
5,1,AL0011200,2W1I0U7 JCJ,20160505,1,45,M,W,1, 
5,1,AL0011200,2W1I0U7 JCX,20160505,1,49,F,B,1, 
5,1,AL0011200,2W1I0U7 JCXX,20160505,0, , , ,1, 
5,1,AL0011200,2W1I0U7 JG N,20160504,1,24,M,B,3, 
5,1,AL0011200,2W1I0U7 JG N,20160504,2,23,M,B, , 
5,1,AL0011200,2W1I0U7 JG N,20160504,3,24,M,B, , 
5,1,AL0011200,2W1I0U7 JG2I,20160504,0, , , ,1, 
5,1,AL0011200,2W1I0U7 JGBN,20160504,1,30,M,B,1, 
5,1,AL0011200,2W1I0U7 JGBR,20160504,1,22,M,B,1, 
5,1,AL0011200,2W1I0U7 JNTW,20160429,0, , , ,1, 
5,1,AL0011200,2W1I0U7 JXBR,20160417,0, , , ,1, 
5,1,AL0011200,2W1I0U7 JXXN,20160504,1,22,M,B,2, 
