,description,title,personalData
0,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '9621.087', 'year': '2010', 'ager': '6', 'direl': '2', 'ethnic1R': '1', 'gender': '1', 'hincome': '3', 'hispanic': '2', 'injury': '0', 'locationr': '3', 'marital2': '2', 'msa': '3', 'newcrime': '1', 'newoff': '4', 'notify': '2', 'popsize': '0', 'race1R': '1', 'region': '3', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
1,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '3605.112', 'year': '2010', 'ager': '7', 'direl': '3', 'ethnic1R': '2', 'gender': '1', 'hincome': '88', 'hispanic': '2', 'injury': '0', 'locationr': '5', 'marital2': '1', 'msa': '2', 'newcrime': '1', 'newoff': '4', 'notify': '2', 'popsize': '1', 'race1R': '2', 'region': '2', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '1', 'weapcat': '0', 'weapon': '2'}"
2,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '4458.439', 'year': '2010', 'ager': '1', 'direl': '4', 'ethnic1R': '4', 'gender': '2', 'hincome': '3', 'hispanic': '1', 'injury': '1', 'locationr': '2', 'marital2': '1', 'msa': '2', 'newcrime': '1', 'newoff': '1', 'notify': '2', 'popsize': '1', 'race1R': '1', 'region': '3', 'seriousviolent': '1', 'treatment': '1', 'vicservices': '2', 'weapcat': '5', 'weapon': '3'}"
3,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '1544.8503', 'year': '2010', 'ager': '5', 'direl': '3', 'ethnic1R': '1', 'gender': '2', 'hincome': '5', 'hispanic': '2', 'injury': '0', 'locationr': '3', 'marital2': '2', 'msa': '3', 'newcrime': '1', 'newoff': '4', 'notify': '1', 'popsize': '1', 'race1R': '1', 'region': '2', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
4,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '3649.3718', 'year': '2010', 'ager': '7', 'direl': '3', 'ethnic1R': '1', 'gender': '1', 'hincome': '88', 'hispanic': '2', 'injury': '1', 'locationr': '5', 'marital2': '2', 'msa': '2', 'newcrime': '1', 'newoff': '4', 'notify': '2', 'popsize': '0', 'race1R': '1', 'region': '2', 'seriousviolent': '2', 'treatment': '1', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
5,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '3649.3718', 'year': '2010', 'ager': '7', 'direl': '3', 'ethnic1R': '1', 'gender': '1', 'hincome': '88', 'hispanic': '2', 'injury': '1', 'locationr': '5', 'marital2': '2', 'msa': '2', 'newcrime': '1', 'newoff': '4', 'notify': '2', 'popsize': '0', 'race1R': '1', 'region': '2', 'seriousviolent': '2', 'treatment': '1', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
6,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '1955.2153', 'year': '2010', 'ager': '7', 'direl': '4', 'ethnic1R': '2', 'gender': '1', 'hincome': '4', 'hispanic': '2', 'injury': '1', 'locationr': '3', 'marital2': '4', 'msa': '1', 'newcrime': '1', 'newoff': '2', 'notify': '2', 'popsize': '4', 'race1R': '2', 'region': '3', 'seriousviolent': '1', 'treatment': '2', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
7,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '1955.2153', 'year': '2010', 'ager': '7', 'direl': '4', 'ethnic1R': '2', 'gender': '1', 'hincome': '4', 'hispanic': '2', 'injury': '0', 'locationr': '1', 'marital2': '4', 'msa': '1', 'newcrime': '1', 'newoff': '4', 'notify': '1', 'popsize': '4', 'race1R': '2', 'region': '3', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '5', 'weapon': '3'}"
8,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '2995.1807', 'year': '2010', 'ager': '7', 'direl': '3', 'ethnic1R': '1', 'gender': '2', 'hincome': '7', 'hispanic': '2', 'injury': '0', 'locationr': '5', 'marital2': '2', 'msa': '3', 'newcrime': '1', 'newoff': '4', 'notify': '2', 'popsize': '0', 'race1R': '1', 'region': '3', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
9,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '2995.1807', 'year': '2010', 'ager': '7', 'direl': '6', 'ethnic1R': '1', 'gender': '2', 'hincome': '7', 'hispanic': '2', 'injury': '0', 'locationr': '3', 'marital2': '2', 'msa': '3', 'newcrime': '1', 'newoff': '4', 'notify': '2', 'popsize': '0', 'race1R': '1', 'region': '3', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '5', 'weapon': '3'}"
